,title,company,salary,summary,location,link
822,Senior / Lead React Developer,TeamITG,,"Team leadership or experience of mentoring more junior team members.
Strong knowledge of software development practices, processes and theories, especially…",Remote,https://uk.indeed.com/rc/clk?jk=3b61078c9bb33da8&fccid=ae09b7105a275b22&vjs=3
823,Senior Full Stack Engineer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=01431266c738c96f&fccid=4b0e4e241ddcf265&vjs=3
824,Senior SAP Core Insurance Architect: Claims Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=1f5d0742617f02dd&fccid=0d6aec866fba2ad5&vjs=3
825,Senior Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=6719345f41884e1e&fccid=4b0e4e241ddcf265&vjs=3
826,Senior SAP Core Insurance Architect: Insurance Product Manag...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=a3ac10a51949bb34&fccid=0d6aec866fba2ad5&vjs=3
827,Senior SAP Core Insurance Architect: Sales and Performance M...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=3819dadb512e1945&fccid=0d6aec866fba2ad5&vjs=3
828,Senior Full Stack Developer,PeopleNet,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=e58cfa302822d404&fccid=b75610d06f16a4e3&vjs=3
829,Senior DevOps Engineer,Blue Prism,,"Able to mentor, encourage and guide junior DevOps engineers and developers in DevOps practices.
You will coach and mentor team members in various DevOps skills,…",Remote,https://uk.indeed.com/rc/clk?jk=a630c9266ef3f880&fccid=c3c74fe89412e37e&vjs=3
830,Senior SAP Core Insurance Architect: Policy Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=b496ed30f2c88532&fccid=0d6aec866fba2ad5&vjs=3
831,"Senior Product Designer, £60,000 - £75,000",CybSafe,,"Empower, coach, mentor and support junior product designers.
In this role, you support CybSafe’s overall product direction and design strategy, reinforce our…",Remote,https://uk.indeed.com/rc/clk?jk=afa8732376cf76d5&fccid=2cb2e3066636f99b&vjs=3
832,Senior ReactJS Engineer,MyBuilder,,"Design, architect, and build large and complex react applications.
Work with product and design to understand functional requirement and overall user experience…",Temporarily Remote,https://uk.indeed.com/rc/clk?jk=a3c988a11ff15e0b&fccid=5b12060045d1cae5&vjs=3
833,Senior Software Engineer,Holland and Barrett,,Implement performant software using documented algorithms and methods of software optimisation on functional team platform.,Remote,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrVOLqRJ5-yjEhSyAj73O13Q-I5H1exbj-7eLG-tf_p4ussPD4P1_UGN5awZ2zrL6qMaZHur5iQFwtdIjkUHFSkqKuc8vTwYsZIY7_GdtMRknD0Lu5INHzJNWAG2KJtc1avUG3OHA2WndUCfQcMMtuRR8x3ucY3pmxKyzQSW6MmJYGINNCTcY_lWlbj5GogOIutMxgPsjBOlvDd3D3rR-cQXt8rdU0fMS_UrFzKa2d_TWt5xUjmlagcMXCq6KFVG7dl6fuzKL0OejlnmJybkkvLl-P5U-G3nH7HPhQJqi03Cwd7tQ2Wd3VCNeaFnnceCWJESSmeNaWdZuP76dif-NxlFjOSL1Qc-aVEOhDwKP6v3f9FiCzSyFjPDjGW8mlABI7ePeI41M8XnNmIUYn1LpoRoPSomGI-ChQpf5Uk1YFLI11z3FfsiKO0R8SBJT0onKd6KviIHMO9uk7Daw9jOx-hMO-vhvs7diRoYQtsGwaDJ5r8G6jnDMGoVvg-f_m4DfLC40Zpr7Ttt_RzlPDsPu0j3UltlNwJaQ-MgBdGZ4z2HtCjPbDhEtddChlbKmjjcT8h6kCdCGeDlHPBnmRU1g7bTtMUVDGI1l6vdlUm1pCRBF_yWwipWLSLDyiKYB-C5BfaySDO0t0HBoWMSH31gJcMzw-0IWgaVVcTFHpiNnp8odzEVpnVPwqOPO4m7YsLUPXyghfGCvQxOFeTr4d5udScCaT7A1Fd1zfPgY8WUbpB1DPTKGsdjUJJm8M8ibTONglKMB18uFx2MKBDTyOUY_wMsU4HvSCrhKhbdYsDDO_uTu6vbZq7qEaEeiTpwcSBft5EUhfUpGXh_h9aT6bffzn9i3bMziZ9VF_aHJ9dHXMVUB7ZfxKAQEf04I2NRdhzlYutBWU9feJJwd8W_h60UqSt9RjkqCFuoxY_PcfxMRyJwcp44Iy-2geTZ-VNgVSw84gw==&p=5&fvj=0&vjs=3
834,Senior Product Manager (Integrations & API),Digital Shadows,,"Experience of the software development lifecycle, in particular Agile methodologies.
We are seeking a Senior Product Manager to manage expand our API and…",Remote,https://uk.indeed.com/rc/clk?jk=a32a4098fa655aa0&fccid=f4b11374fb131747&vjs=3
835,Senior React Developer,Luxus Worldwide,,"Familiarity with the principles of Agile software development.
Mentor junior developers and ensure they become good team members with good communication and…",Remote,https://uk.indeed.com/rc/clk?jk=a61c1e97aa1fee07&fccid=d0361cbc2124a094&vjs=3
836,Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=45027e7f57fc5cda&fccid=4b0e4e241ddcf265&vjs=3
837,Senior / Lead React Developer,TeamITG,,"Team leadership or experience of mentoring more junior team members.
Strong knowledge of software development practices, processes and theories, especially…",Remote,https://uk.indeed.com/rc/clk?jk=3b61078c9bb33da8&fccid=ae09b7105a275b22&vjs=3
838,Senior Full Stack Engineer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=01431266c738c96f&fccid=4b0e4e241ddcf265&vjs=3
839,Senior SAP Core Insurance Architect: Claims Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=1f5d0742617f02dd&fccid=0d6aec866fba2ad5&vjs=3
840,Senior Full Stack Developer,Bullhorn,,"Mentoring and coaching junior developers.
You have 4+ years of experience as a software engineer.
While working from the comfort of their own homes, our remote…",Remote,https://uk.indeed.com/rc/clk?jk=6719345f41884e1e&fccid=4b0e4e241ddcf265&vjs=3
841,Senior SAP Core Insurance Architect: Insurance Product Manag...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=a3ac10a51949bb34&fccid=0d6aec866fba2ad5&vjs=3
842,Senior SAP Core Insurance Architect: Sales and Performance M...,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=3819dadb512e1945&fccid=0d6aec866fba2ad5&vjs=3
843,Back End Engineer,Cytora,,"Great team player and ability to help coach and mentor junior members of the team.
Drive for continuous improvement in software and development processes …",Remote,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrVOLqRJ5-yjEhSyAj73O13RHZgf81u7ifkJ0iXGvWV2od1gesEF4qiAf1aCx6YfZQXF1tLtS6WPNWvUa_kZNO3U3yLKPCDlVjsRs7uGFPfXBLKL9I4EDK_DHyp6UCYKlgeeT5AfjVj2qru0Q6kkUTv9C1F5J25k-lN7Ca-p2rC_UkBicRpJfwGVTR7HsOTuc9kO3lOq2ZspSXJSB8jPU_15rnhjLWEvmkfr3yzxEGJJV2uTIan4XFmxop3cLG3ZiAeoF-D9u_9xLkQbkkUblqR9iGE7xUjKy9N4993nsHPiX9yx_eIRsgudAdXFAvQM86imXp5fuQFChUMO0leMfNxlA0TmG9OyChNnq5jIFMSO6w56Nc7mvNCuI99Q2LfPxBfE855_iJ_gu04lOJZLq7vLFy6W2-FMiEWNTI4JMoFscFsJKU5neNaJy3FsYZieNMDkLV5yper4prsUR0qaT9uivVweIwf3Vts_tKe0xnaaZ6LHa2Zmeo-MfPghD4vxcGnKZfpbDyL4fIfIUqeNbYvwClsvHO43AeoqhBAujSERQkoxwyud7gJKOuWHBuNvmX1roMjO4_OTYw9k47Hka8LF17TbMLgbF2O8dh7yX9PJi76c6Pm2cDl0iFTpR0XWxa-MnBQlnahDt9hnDmMDf-tLPPRV1wlbfuljvb4BSCK3h_SJdqcejYQDvhg3oOSwjHu1AMswuY5T6J4DwpmiqZqxSHBn7bKz5wDNdw949M-3lxguBZFB9AhJyRosgldovLvDMeNClwj_sLvLCQakONGXD_jcqnC4tYpjF00S4LuwVeFCpMtPTIgVKpeb9cdgOwBNYjPzWltIREhWbR8RWOvllNeHK33eiGer-3WaJu6cJEfPllw6nk6bQDx7mGB5J1bamxROhLbkonrpOoi686ncVVDGBiDje0jFQBvpWuHmj&p=0&fvj=0&vjs=3
844,Software Engineer,Bupa Dental Care,,You will have an in-depth understanding of software development best practices and knowledge of the tools needed to debug and diagnose issues in any type of…,Remote in United Kingdom,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9xM1ze1CK1QBouVglxzlBnoBPYpS9ek0P1vdZwoyENX4TH4ATiBr2ew3SdhVihFnu-cFhyOYyhtS6HGWDHS4Rgcnx-MsFbP8ivzUtQYbv0qFUOmhKT2VVewfyTC9hsShI6ghDYlkbUVyz89fhbYg6Mpb7PHokoLjPx1fehKk1MMZZA61KRWT_jMhX_5gVMg0p8MHIuAEsK-X_taLrns3L9rW-x3-D4n1n_TdUxh8HI7Bzo9YngDLn6gBum7hnFVu_-YvlEHJqMwRbzVbZwp6gGWDUDM0mfvfIRSG_fc_tGSthWEmq3TIfJ7ak-34Yz6wQdiot36JVRGpbpYG4t83blKKcut9ENXVfS1Nbnu8vizXJ6TKkpTZjRV0H8Z8kq0q54GpsEIPySzm4rN0g8BsgvWdGMlw4lU8ETvs8iBwyM0t6F2-3NhglkQn11rUAfFPtteqs_yflC2AgAztfwvUmqVddNMVHDmD934u-GPFqQ_dhb7Zd-W-bh4Jq2b0NCVvQWtNBbO-DfklxtZedd56x77pJK5mj6V9HLFeBO973YqkEZtd3oTPZuHlkt9-RuvLvKPWTYQugfQ==&p=1&fvj=0&vjs=3
845,Senior DevOps Engineer,Blue Prism,,"Able to mentor, encourage and guide junior DevOps engineers and developers in DevOps practices.
You will coach and mentor team members in various DevOps skills,…",Remote,https://uk.indeed.com/rc/clk?jk=a630c9266ef3f880&fccid=c3c74fe89412e37e&vjs=3
846,Senior SAP Core Insurance Architect: Policy Management,SAP Fioneer,,"You will promote and participate in strengthening SAP Fioneer’s collective knowledge by advocating best practice, mentoring of junior consultants and…",Remote,https://uk.indeed.com/rc/clk?jk=b496ed30f2c88532&fccid=0d6aec866fba2ad5&vjs=3
847,"Senior Product Designer, £60,000 - £75,000",CybSafe,,"Empower, coach, mentor and support junior product designers.
In this role, you support CybSafe’s overall product direction and design strategy, reinforce our…",Remote,https://uk.indeed.com/rc/clk?jk=afa8732376cf76d5&fccid=2cb2e3066636f99b&vjs=3
848,Senior ReactJS Engineer,MyBuilder,,"Design, architect, and build large and complex react applications.
Work with product and design to understand functional requirement and overall user experience…",Temporarily Remote,https://uk.indeed.com/rc/clk?jk=a3c988a11ff15e0b&fccid=5b12060045d1cae5&vjs=3
849,Senior Product Manager (Integrations & API),Digital Shadows,,"Experience of the software development lifecycle, in particular Agile methodologies.
We are seeking a Senior Product Manager to manage expand our API and…",Remote,https://uk.indeed.com/rc/clk?jk=a32a4098fa655aa0&fccid=f4b11374fb131747&vjs=3
850,Senior React Developer,Luxus Worldwide,,"Familiarity with the principles of Agile software development.
Mentor junior developers and ensure they become good team members with good communication and…",Remote,https://uk.indeed.com/rc/clk?jk=a61c1e97aa1fee07&fccid=d0361cbc2124a094&vjs=3
